Date, Time, CLatitude, CLongitude, MaxSpeed, Pressure, Category
Nov. 04, 	06 GMT, 	6.0, 	150.2, 	45, 	-999, 	TS
Nov. 04, 	12 GMT, 	6.1, 	148.3, 	50, 	-999, 	TS
Nov. 04, 	18 GMT, 	6.5, 	147.3, 	65, 	-999, 	TS
Nov. 05, 	00 GMT, 	6.4, 	145.9, 	75, 	-999, 	TY
Nov. 05, 	06 GMT, 	6.4, 	144.5, 	75, 	-999, 	TY
Nov. 05, 	12 GMT, 	6.8, 	143.0, 	105, 	-999, 	TY
Nov. 05, 	18 GMT, 	7.1, 	141.2, 	120, 	-999, 	TY
Nov. 06, 	00 GMT, 	7.4, 	139.6, 	150, 	-999, 	STY
Nov. 06, 	06 GMT, 	7.6, 	138.0, 	155, 	-999, 	STY
Nov. 06, 	12 GMT, 	7.9, 	136.2, 	160, 	-999, 	STY
Nov. 06, 	18 GMT, 	8.2, 	134.4, 	175, 	-999, 	STY
Nov. 07, 	00 GMT, 	8.6, 	132.8, 	175, 	-999, 	STY
Nov. 07, 	06 GMT, 	9.3, 	131.1, 	175, 	-999, 	STY
Nov. 07, 	12 GMT, 	10.2, 	129.1, 	190,	-999, 	STY
Nov. 07, 	18 GMT, 	10.6, 	127.0, 	195, 	-999, 	STY
Nov. 08, 	00 GMT, 	11.0, 	124.8, 	185, 	-999, 	STY
Nov. 08, 	06 GMT, 	11.4, 	122.6, 	165, 	-999, 	STY
Nov. 08, 	12 GMT, 	11.8, 	120.6, 	155, 	-999, 	STY
Nov. 08, 	18 GMT, 	12.4, 	118.1, 	145, 	-999, 	TY
Nov. 09, 	00 GMT, 	12.3, 	116.2, 	135, 	-999, 	TY
Nov. 09, 	06 GMT, 	13.5, 	114.8, 	120, 	-999, 	TY
Nov. 09, 	12 GMT, 	14.5, 	113.2, 	115, 	-999, 	TY
Nov. 09 ,	18 GMT, 	15.5, 	111.4, 	105, 	-999, 	TY
Nov. 10, 	00 GMT, 	16.3, 	110.2, 	100, 	-999, 	TY
Nov. 10, 	06 GMT, 	17.8, 	109.0, 	90, 	-999, 	TY
Nov. 10, 	12 GMT, 	19.3, 	108.1, 	85, 	-999, 	TY
Nov. 10, 	18 GMT, 	20.5, 	107.3, 	75, 	-999, 	TY
Nov. 11, 	00 GMT, 	21.8, 	107.2, 	70,	-999, 	TS
